"Label","N","LB5_Z","LB10_Z","LB5_absZ","LB10_absZ","SW","JB"
"B0_BB-AAA | AR(1) with SV",353,"0.0179*","0.0069**","5e-04**","8e-04**","0.0042**","0**"
"B0_B-AAA | RW w/o SV",353,"0.0019**","0.0021**","0**","0**","0**","0**"
"B0_B-AAA | RW with SV",353,"0.1702","0.3101","1e-04**","2e-04**","2e-04**","0**"
"B0_B-AAA | AR(1) w/o SV",353,"0.0016**","0.0039**","0**","0**","0**","0**"
"B0_B-AAA | AR(1) with SV",353,"0.0019**","0.0016**","0.0167*","0.0197*","0**","0**"
"B0_CCC-AAA | RW w/o SV",353,"0**","1e-04**","0**","0**","0**","0**"
"B0_CCC-AAA | RW with SV",353,"0.0018**","0.0221*","0**","0**","0**","0**"
"B0_CCC-AAA | AR(1) w/o SV",353,"0**","1e-04**","0**","0**","0**","0**"
"B0_CCC-AAA | AR(1) with SV",353,"0**","0**","0**","0**","0**","0**"
"B1_BBB-AAA | RW w/o SV",353,"0.5279","0.7828","0**","0**","0**","0**"
"B1_BBB-AAA | RW with SV",353,"0.4016","0.2409","0.013*","0.0146*","0**","0**"
"B1_BBB-AAA | AR(1) w/o SV",353,"0.4767","0.7329","0**","0**","0**","0**"
"B1_BBB-AAA | AR(1) with SV",353,"0.04*","0.0021**","6e-04**","2e-04**","1e-04**","0**"
"B1_BB-AAA | RW w/o SV",353,"0.4133","0.417","0.007**","0.0346*","0**","0**"
"B1_BB-AAA | RW with SV",353,"0.0876","0.319","0**","0**","5e-04**","6e-04**"
"B1_BB-AAA | AR(1) w/o SV",353,"0.4252","0.5433","0.0082**","0.0382*","0**","0**"
"B1_BB-AAA | AR(1) with SV",353,"0.0658","0.2257","0**","0**","6e-04**","1e-04**"
"B1_B-AAA | RW w/o SV",353,"0.1524","0.3976","0.0186*","0.1165","0**","0**"
"B1_B-AAA | RW with SV",353,"0.3864","0.6447","7e-04**","0.003**","0.0054**","6e-04**"
"B1_B-AAA | AR(1) w/o SV",353,"0.1363","0.404","0.0298*","0.1924","0**","0**"
"B1_B-AAA | AR(1) with SV",353,"0.2391","0.2784","0.0081**","0.0224*","0.0126*","9e-04**"
"B1_CCC-AAA | RW w/o SV",353,"8e-04**","0.0084**","0.0021**","0.0069**","0**","0**"
"B1_CCC-AAA | RW with SV",353,"0.0312*","0.1804","0.4075","0.5654","0.0145*","0.0115*"
"B1_CCC-AAA | AR(1) w/o SV",353,"2e-04**","0.0027**","0.0016**","0.0097**","0**","0**"
"B1_CCC-AAA | AR(1) with SV",353,"4e-04**","0.0016**","0.0371*","0.1456","0.0101*","0.0037**"
"B2_AA-AAA | RW w/o SV",353,"1e-04**","0.0031**","0**","0**","0**","0**"
"B2_AA-AAA | RW with SV",353,"0.0589","0.2358","0**","0**","0**","0**"
"B2_AA-AAA | AR(1) w/o SV",353,"9e-04**","0.0085**","0**","0**","0**","0**"
"B2_AA-AAA | AR(1) with SV",353,"0.0524","0.0973","0**","0**","0**","0**"
"B2_A-AAA | RW w/o SV",353,"0.0362*","0.1861","0**","0**","0**","0**"
"B2_A-AAA | RW with SV",353,"0.3927","0.8086","0**","0**","0**","0**"
"B2_A-AAA | AR(1) w/o SV",353,"0.0845","0.2869","0**","0**","0**","0**"
"B2_A-AAA | AR(1) with SV",353,"0.1485","0.314","0**","0**","0**","0**"
"B2_BBB-AAA | RW w/o SV",353,"0.1456","0.3599","0**","0**","0**","0**"
"B2_BBB-AAA | RW with SV",353,"0.5307","0.8866","0**","0**","0**","0**"
"B2_BBB-AAA | AR(1) w/o SV",353,"0.2274","0.5579","0**","0**","0**","0**"
"B2_BBB-AAA | AR(1) with SV",353,"0.2667","0.6158","0**","0**","0**","0**"
"B2_BB-AAA | RW w/o SV",353,"0.9713","0.5416","0**","0**","0**","0**"
"B2_BB-AAA | RW with SV",353,"0.8103","0.7482","0**","0**","0**","0**"
"B2_BB-AAA | AR(1) w/o SV",353,"0.9509","0.6397","0**","0**","0**","0**"
"B2_BB-AAA | AR(1) with SV",353,"0.629","0.5763","0**","0**","0**","0**"
"B2_B-AAA | RW w/o SV",353,"0.351","0.3973","0**","0**","0**","0**"
"B2_B-AAA | RW with SV",353,"0.9237","0.8272","0**","0**","1e-04**","0**"
"B2_B-AAA | AR(1) w/o SV",353,"0.3237","0.4317","1e-04**","0**","0**","0**"
"B2_B-AAA | AR(1) with SV",353,"0.7635","0.7289","1e-04**","0**","4e-04**","0**"
"B2_CCC-AAA | RW w/o SV",353,"0.0073**","0.0582","0.0016**","2e-04**","0**","0**"
"B2_CCC-AAA | RW with SV",353,"0.0766","0.2904","0.0046**","9e-04**","0.0054**","1e-04**"
"B2_CCC-AAA | AR(1) w/o SV",353,"0.0026**","0.0348*","0.0037**","0.001**","0**","0**"
"B2_CCC-AAA | AR(1) with SV",353,"0.0264*","0.0989","0.0013**","9e-04**","0.0337*","0.0187*"
"B3_BBB-AAA | RW w/o SV",353,"0.3185","0.5015","0**","0**","0**","0**"
"B3_BBB-AAA | RW with SV",353,"0.3767","0.5909","0.2039","0.1472","0**","0**"
"B3_BBB-AAA | AR(1) w/o SV",353,"0.3189","0.5085","0**","0**","0**","0**"
"B3_BBB-AAA | AR(1) with SV",353,"0.3376","0.3789","0.5938","0.2947","1e-04**","0**"
"B3_BB-AAA | RW w/o SV",353,"0.4085","0.402","0.0076**","0.0458*","0**","0**"
"B3_BB-AAA | RW with SV",353,"0.0629","0.2405","0**","0**","2e-04**","0**"
"B3_BB-AAA | AR(1) w/o SV",353,"0.4137","0.4561","0.0199*","0.099","0**","0**"
"B3_BB-AAA | AR(1) with SV",353,"0.054","0.2284","0**","0**","1e-04**","0**"
"B3_B-AAA | RW w/o SV",353,"0.2231","0.3033","0.3438","0.6764","0**","0**"
"B3_B-AAA | RW with SV",353,"0.5173","0.4162","6e-04**","0.0037**","0.0017**","0**"
"B3_B-AAA | AR(1) w/o SV",353,"0.217","0.308","0.3213","0.6552","0**","0**"
"B3_B-AAA | AR(1) with SV",353,"0.517","0.4452","0.0018**","0.0121*","0.0064**","1e-04**"
"B3_CCC-AAA | RW w/o SV",353,"0.0566","0.2674","0.711","0.8981","0**","0**"
"B3_CCC-AAA | RW with SV",353,"0.4048","0.7067","0.0314*","0.0164*","9e-04**","0**"
"B3_CCC-AAA | AR(1) w/o SV",353,"0.0291*","0.1887","0.5262","0.7441","0**","0**"
"B3_CCC-AAA | AR(1) with SV",353,"0.4","0.6672","0.0126*","0.0123*","0.0046**","2e-04**"
